SNname,type,ExplosionDate,R,Reference,Method,
,don't worry about type Ia,,,,,
,II -- Jack - top   Adrian -- bottom,"MJD if given, otherwise date",,link to ads reference,,
,Ib -- Thomas,,,,,
,Ic -- Macie,,,,,
,,,,,,
SN2016iog,II,x,"
Holoien_etal_2017",https://arxiv.org/pdf/1704.02320.pdf,,
SN2016ipf,Ia,,,,,
SN2016igr,Ia,,,,,
SN2016ija,II,x,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.471.4966H/abstract,,
SN2016iet,,,,,,
SN2016ieq,IIn,,,,,
SN2016iae,Ic,x,,,,
SN2016hvl,Ia-91T,,,,,
SN2016hsc,Ia,,,,,
SN2016hnk,Ia-91bg,,,,,
SN2016hli,Ia,,,,,
SN2016hpw,Ia,,,,,
SN2016huh,Ia,,,,,
SN2016hrv,II,x,,https://ui.adsabs.harvard.edu/abs/2018ApJ...855..107G/abstract,,
SN2016hht,Ia,,,,,
,,,,,,
#beginning of Swift-ASASSN program,,,,,,
,,,,,,
SN2016gxp,Ia-pec,,,,,
SN2016hgm,II,x,,https://ui.adsabs.harvard.edu/search/fq=%7B!type%3Daqp%20v%3D%24fq_database%7D&fq_database=database%3A%20astronomy&p_=0&q=((%3Dabs%3A(SN2016hgm)%20OR%20simbid%3A(11954648)%20OR%20nedid%3A(SN_2016hgm))%20database%3Aastronomy)&sort=date%20desc%2C%20bibcode%20desc,,
SN2016gsb,Ia,,,,,
SN2016gkg,IIb,57650.94,Tartaglia_etal_2017,https://ui.adsabs.harvard.edu/abs/2017ApJ...836L..12T/abstract,light curve fitting,
OGLE16dmu,SLSN-I,,,,,
SN2016gfy,II,2016 Sept 9.90 UT,Singh_etal_2019,https://arxiv.org/pdf/1907.03159.pdf,,
SN2016gfr,Ia,,,,,
SN2016frp, Ib-pec,,,,SNID,
SN2016fff,Ia,,,,,
SN2016fej,Ia,,,,,
SN2016eii,Ia,,,,,
SN2016ezh,TDE,,,,,
SN2016enk,IIP,,,,,
SN2016eja,Ia,,,,,
#SN2016ewr,CV,,,,,
SN2016euj,Ia,,,,,
SN2016eoa,Ia,,,,,
SN2016els,SLSN-I,,,,,
SN2016ekt,Ia,,,,,
SN2016ekg,Ia,,,,,
SN2016eiy,Ia,,,,,
SN2016daj,Ia,,,,,
SN2016cvk,IIn,,,,,
SN2016cqj,II,x,,,,
#SN2016cpd,,,,,,
SN2016cok,IIP,,,,,
SN2016coj,Ia,,,,,
SN2016coi,Ic-BL,57532.5,Terreran_etal_2019,https://ui.adsabs.harvard.edu/abs/2019ApJ...883..147T/abstract,,
#AT2016cny,cv,,,,,
SN2016cnx,Ia,,,,,
SN2016ccz,Ia,,,,,
iPTF16eh,SLSN-I,,,,,
Gaia16apd,SLSN-I,,,,,
SN2016ccj,Ia-SC,,,,,
SN2016dxv,Ia,,,,,
SN2016bmd,IIb,,,,,
# ASASSN-16do is a cv,,,,,,
SN2016blz,II,57485.5,Brown_etal_2016,https://www.astronomerstelegram.org/?read=8930,halfway between discovery and nondetection,
SN2016blk,Iapec,,,,,
Gaia16alf,Ia,,,,,
SN2016bln,Ia-91T/99aa,,,,,
SN2016bqs,Ia,,,,,
SN2016blc,Ia,,,,,
SN2016bau,Ib,57460 pm 1,Tonry_etal_2016,http://www.astronomerstelegram.org/?read=8820,tight detection limits,strange
SN2016bfv,II,x,,,,
SN2016bfu,Ia-91bg,,,,,
SN2016asf,Ia,,,,,
SN2016aqt,Ia-SC,,,,,
SN2016aqf,II,MJD 57440.19 ± 4,Muller-Bravo_etal_2020,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497..361M/abstract,,
SN2016ard,SLSN-I,,,,,
SN2016arc,Ia,,,,,
SN2016aps,SLSN-II?,,,,,
#SN2016ajn,CV or nova,,,,,
SN2016ajf,Ia-91bg,,,,,
SN2016adj,Ib,,,,,
SN2016aiy,IIn,,,,,
SN2016aix,Ia-91T,,,,,
SN2016adi,Ia,,,,,
SN2016zd,Ia,,,,,
SN2016aj,SLSN-I,,,,,
SN2016X,IIP,,,,,
SN2016L,IIP,,,,,
SN2016P,Ic-BL,25-Sep-15,Gangopadhyay_etal_2020,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.3770G/abstract,,
SN2016G,Ic-BL,x,,,,
SN2016F,Ia,,,,,
SN2016C,IIP,,,,,
SN2016B,II,2457382.0 ± 1.2 (JD)^3,Dastidar_etal_2018,https://arxiv.org/pdf/1904.01844.pdf,,
ASASSN-15uw,Ia,,,,,
ASASSN-15ut,Ia-pec,,,,,
ASASSN-15um,Ic,x,,,,
ASASSN-15uh,Ia-91T,,,,,
ASASSN-15ua,IIn,,,,,
SN2015dd,Ib,,,,,
ASASSN-15tj,Ia,,,,,
SNinNGC7123,Ia,,,,,
#iPTF15eov,,,,,,
SN2015bq,Ia-99aa,,,,,
ASASSN-15ts,Ia,,,,,
ASASSN-15ti,Ia,,,,,
OGLE15sd,SLSN-I,,,,,
#ASASSN-15th,Nova,,,,,
SN2015bf,IIn,,,,,
SN2015ar,Ia,,,,,
PS15cww,IIn,,,,,
OGLE15qz,SLSN-I,,,,,
PS15ces,IIn,,,,,
PS15cwo,IIP,,,,,
SN2015Z,IIn,,,,,
SN2015as,II,2015 November 6,Gangopadhyay_etal_2018,https://arxiv.org/pdf/1802.06731.pdf,,
ASASSN-15rw,Ia,,,,,
ASASSN-15rq,Ia,,,,,
ASASSN-15pz,Ia-SC,,,,,
PS15cku,Ia,,,,,
PSNJ09100885+5003396,Ia-SC,,,,,
ASASSN-15so,Ia,,,,,
ASASSN-15sf,Ia,,,,,
PS15br,SLSN-II,,,,,
SN2015dc,Ia?,,,,,
ASASSN-15qh,II,x,,,,
ASASSN-15qc,Ia,,,,,
DES15S2nr,SLSN-I,,,,,
PS15blq,SLSN-IIn,,,,,
SN2015an,IIP,,,,,
SN2015ah,Ib,,,,,
SN2015ap,Ib,57271,Gangopadhyay_etal_2020,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.3770G/abstract,between light curve and spectral fitting,
ASASSN-15oz,II,"MJD = 57648+8
−4 a",Reynolds_etal_2020,https://ui.adsabs.harvard.edu/abs/2020MNRAS.493.1761R/abstract,,
SN2015ak,Ia,,,,,
PSNJ23374322-4730393,Ia,,,,,
ASASSN-15og,Ia-CSM,,,,,
ASASSN-15od,Ia,,,,,
ASASSN-15ns,Ia,,,,,
ASASSN-15mj,Ib,,,,,
ASASSN-15lh,SLSN-I,,,,,
SN2015N,Ia,,,,,
SN2015J,IIn,,,,,
PS15bgt,Ib-IIb,,,,,
SN2015bh,LBVgoneSN?,,,,,
SN2015M,Ia-91T,,,,,
PS15aot,Ia-91bg?,,,,,
ASASSN-15kg,Ia-pec?,,,,,
SN2015I,Ia,,,,,
SN2015V,II,57112.5(4) MDJ,Jaeger_etal_2019,https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.2799D/abstract,,
ASASSN-15hy,Ia-SC,,,,,
ASASSN-15hx,Ia,,,,,
ASASSN-15hf,Ia,,,,,
ASASSN-15ga,Ia-99by,,,,,
LSQ15abl,SLSN-II,,,,,
SN2015F,Ia,,,,,
ASASSN-15fi,II,x,,,,
ASASSN-15fz,II,x,,,,
SN2015G,Ibn,,,,,
SN2015bp,Ia-91bg,,,,,
#SNinNGC5112,LBV,,,,,
#ASASSN-15ek nova,nova,,,,,
ASASSN-15cq,Ia,,,,,
SN2015bq,Ia-91T,,,,,
SN2015bo,Ia-91bg,,,,,
PS15ae,SLSN-I,,,,,
PS15jf,imposter?,,,,,
SNhunt60,IIb,,,,,
ASASSN-15ar,Ia,,,,,
ASASSN-15aj,Ia,,,,,
Gaia15acw,II,x,,,,
iPTF14atg,Ia,,,,,
ASASSN-14lw,Ia,,,,,
ASASSN-14ms,Ibn,,,,,
SN2014es,IIn,,,,,
ASASSN-14lp,Ia,,,,,
SN2014eg,Ia-91T,,,,,
ASASSN-14kr,Ia,,,,,
ASASSN-14kd,Ia-91T,,,,,
SN2014ge,Ib,,,,,
SN2014eh,Ic,x,,,,
SN2014dt,Ia-02cx,,,,,
PSNinNGC55,imposter?,,,,,
SN2014gd,Ia,,,,,
ASASSN-14il,IIn,,,,,
# ASASSN-14hu not observed wrong coordinates,Ia,,,,,
CSS141028,Ib,,,,,
CSS140914,Ia,,,,,
SN2014gf,IIn/Ia-CSM,,,,,
SN2014df,Ib,,,,,
SN2014dg,Ia,,,,,
ASASSN-14ha,II,,,,,
ASASSN-14jb,II,,,,,
SN2014ek,Ia-02cx,,,,,
SN2014cx,II,,,,,
SN2014cp,Ic-BL,x,,,,
SN2014cd,Ia,,,,,
ASASSN-14fd,IIn,,,,,
ASASSN-14fa,Ia,,,,,
ASASSN-14eu,Ia-pec?,,,,,
SN2014ba,Ia-91bg,,,,,
ASASSN-14dd,Ibn,,,,,
ASASSN-14dc,IIn/Ia-CSM,,,,,
SN2014bv,Ia,,,,,
SNhunt248,IIn?,,,,,
ASASSN-14bu,IIP,,,,,
iPTF14bdn,Ia-99aa,,,,,
SN2014bc,IIP,,,,,
ASASSN-14ar,Ia,,,,,
PS1-14xw,Ia,,,,,
iPTF14aoi,II,,,,,
SN2014at,Ia,,,,,
SN2014ao,Ia,,,,,
SN2014as,Ic,x,,,,
CSS14,IIn,,,,,
PSN2014inM61,imp?,,,,,
SN2014ap,Ia,,,,,
SN2014ai,Ia,,,,,
SN2014ad,Ic-BL,"JD 245,6725",Sahu_etal_2018,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.2591S/abstract,,
AT2016blu,LBV,,,,,
SN2014R,Ia,,,,,
LSQ14pt,IIn,,,,,
LSQ14mo,SLSN-I,,,,,
#ASASSN-14ae,tidal disruption event,,,,,
SN2014L,Ic,x,,,,
ASASSN-14ad,Ia,,,,,
SN2014J,Ia,,,,,
SNinNGC2196,Ic,x,,,,
SN2014I,Ia,,,,,
SN2014G,IIL,,,,,
SN2014C,Ib,56656,Milisavlijevic_etal_2015,https://ui.adsabs.harvard.edu/abs/2015ApJ...815..120M/abstract,14 days before peak,
SN2014A,IIP,,,,,
ASASSN-13dn,II,,,,,
LSQ13cuw,IIL,,,,,
iPTF13ebh,Ia,,,,,
iPTF13dge,Ia,,,,,
PTF13bvn,Ic,56458.67,Reilly_etal_2016,https://ui.adsabs.harvard.edu/abs/2016MNRAS.457..288R/abstract,,
LSQ13ddu,I,,,,,
LSQ13ry,Ia,,,,,
LSQ13crf,Ia,,,,,
ASASSN-13dd,Ia,,,,,
ASASSN-13co,II,,,,,
ASASSN-13cj,Ia,,,,,
ASASSN-13ch,Ia,,,,,
SN2013hx,SLSN-II,,,,,
SN2013hn,Ia,,,,,
SN2013hh,Ia-91T,,,,,
SN2013gy,Ia,,,,,
SN2013gs,Ia,,,,,
SN2013gh,Ia,,,,,
SN2013ge,Ic,56607,Drout_etal_2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...821...57D/abstract,,
SN2013gd,II,,,,,
SN2013fy,Ia,,,,,
SN2013fw,Ia,,,,,
SN2013fv,II,,,,,
SN2013fs,IIn/IIP,,,,,
SN2013fn,Ia,,,,,
SN2013ex,Ia,,,,,
SN2013eu,Ia,,,,,
SN2013ej,II,,,,,
SN2013ek,Ib,,,,,
SN2013el,Ib,56423,Parker_etal_2013,https://ui.adsabs.harvard.edu/abs/2013CBET.3611....1P/abstract,just before discovery,
SN2013eh,Ia,,,,,
SN2013dy,Ia,,,,,
SN2013dn,IIn,,,,,
SN2013dk,Ic,x,,,,
SN2013dh,Iax,,,,,
SN2013df,II,,,,,
SN2013cv,Ia,,,,,
SN2013cu,IIb,,,,,
SN2013cs,Ia,,,,,
SN2013cj,IIn,,,,,
SN2013cg,Ia,,,,,
SN2013by,IIn/IIL,,,,,
SN2013bu,II,,,,,
SN2013bs,Ia,,,,,
SN2013am,II,,,,,
SN2013ak,II,,,,,
SN2013ai,IIP,,,,,
SN2013ag,Ia,,,,,
SN2013ab,IIP,,,,,
SN2013aa,Ia,,,,,
SN2013Q,Ia,,,,,
SN2013L,IIn,,,,,
SN2013I,IIn,,,,,
